Tissue	Data	Number
Brain_Amygdala	SAMPLE_NUM	69
Brain_Anterior_cingulate_cortex_BA24	SAMPLE_NUM	84
Brain_Caudate_basal_ganglia	SAMPLE_NUM	119
Brain_Cerebellar_Hemisphere	SAMPLE_NUM	105
Brain_Cerebellum	SAMPLE_NUM	128
Brain_Cortex	SAMPLE_NUM	113
Brain_Frontal_Cortex_BA9	SAMPLE_NUM	107
Brain_Hippocampus	SAMPLE_NUM	92
Brain_Hypothalamus	SAMPLE_NUM	90
Brain_Nucleus_accumbens_basal_ganglia	SAMPLE_NUM	110
Brain_Putamen_basal_ganglia	SAMPLE_NUM	91
Brain_Spinal_cord_cervical_c-1	SAMPLE_NUM	63
Brain_Substantia_nigra	SAMPLE_NUM	65
Brain_Amygdala	Chosen_srQTL	183
Brain_Anterior_cingulate_cortex_BA24	Chosen_srQTL	405
Brain_Caudate_basal_ganglia	Chosen_srQTL	407
Brain_Cerebellar_Hemisphere	Chosen_srQTL	448
Brain_Cerebellum	Chosen_srQTL	502
Brain_Cortex	Chosen_srQTL	530
Brain_Frontal_Cortex_BA9	Chosen_srQTL	368
Brain_Hippocampus	Chosen_srQTL	449
Brain_Hypothalamus	Chosen_srQTL	308
Brain_Nucleus_accumbens_basal_ganglia	Chosen_srQTL	333
Brain_Putamen_basal_ganglia	Chosen_srQTL	366
Brain_Spinal_cord_cervical_c-1	Chosen_srQTL	274
Brain_Substantia_nigra	Chosen_srQTL	366
