Trait_name	Brain_Frontal_Cortex_BA9	Brain_Spinal_cord_cervical_c-1	Brain_Cortex	Brain_Hypothalamus	Brain_Putamen_basal_ganglia	Brain_Amygdala	Brain_Substantia_nigra	Brain_Anterior_cingulate_cortex_BA24	Brain_Cerebellar_Hemisphere	Brain_Cerebellum	Brain_Caudate_basal_ganglia	Brain_Hippocampus	Brain_Nucleus_accumbens_basal_ganglia
Qualifications: O levels/GCSEs or equivalent	3.0190448969559904	0.15880530932920428	0.9601784119317749	0.19639647639432653	0.2387123783901889	0.23358096938972733	0.15745528471491302	0.23179106805286784	0.21076697226336308	0.28731201496206127	0.35334190428234025	0.3367862812981828	0.33535579568294366
Target heart rate achieved	0.2303850991736735	0.12562567287958928	0.7885787083140364	1.726393193536655	0.7933131411872376	0.14373374696787103	0.15745528471491302	0.19705856480774378	0.21076697226336308	0.5276659060788433	0.2270459705923477	0.33119929592070463	0.3420860015019912
Body fat percentage	0.2303850991736735	1.3418972580377195	0.7252716748875148	0.19639647639432653	0.7985066523467386	0.020216012730076272	0.15745528471491302	0.218513112604961	0.21076697226336308	0.3017544334472208	0.39829467069203517	0.33119929592070463	0.3509525099909296
Body mass index (BMI)	0.39265423971532176	1.3418972580377195	0.9601784119317749	0.19639647639432653	0.7455969963380461	0.09811399053479936	0.1607845206308968	0.23179106805286784	0.21076697226336308	0.3771863709453603	0.39829467069203517	0.36769434748879204	0.3420860015019912
Seen a psychiatrist for nerves_ anxiety_ tension or depression	0.2303850991736735	1.3418972580377195	0.4482566408228389	0.038140025442085085	0.09097191722404956	0.13491041181284122	0.15745528471491302	0.19202495480475829	0.21076697226336308	0.30647477017812097	0.2270459705923477	0.33119929592070463	0.14671939607301954
Diastolic blood pressure_ automated reading	0.23123113031855055	1.3418972580377195	0.8185895699347226	0.14502052873403987	0.3824146544143138	0.06423344725265319	0.1922730797810048	0.34214491585733015	0.21076697226336308	0.30647477017812097	0.21250525617111077	0.36769434748879204	0.33353630230724696
Job involves heavy manual or physical work	0.37287307237021916	1.3418972580377195	0.750905703842573	0.19639647639432653	0.11746848635532957	0.23358096938972733	0.3826610012226981	0.23179106805286784	0.21076697226336308	0.28100615102767207	0.28682312608392285	0.33119929592070463	0.3397275457139552
Job involves mainly walking or standing	0.24406343869007244	1.3418972580377195	0.9004231317806848	0.18015625464965565	0.15696640498516817	0.23358096938972733	0.33907310002364777	0.23179106805286784	0.21076697226336308	0.30647477017812097	0.2270459705923477	0.36769434748879204	0.35064298722116943
Impedance of arm (left)	1.3031441512414037	0.30734578276559554	0.9173312168646839	0.19639647639432653	0.641077726410996	0.23358096938972733	0.15745528471491302	0.218513112604961	0.19519671665830898	0.5276659060788433	0.39829467069203517	0.33119929592070463	0.3509525099909296
Impedance of arm (right)	1.3031441512414037	0.5564318893542782	0.9388026414327777	0.19639647639432653	0.641077726410996	0.23358096938972733	0.15745528471491302	0.23179106805286784	0.21076697226336308	0.5276659060788433	0.39829467069203517	0.3427841181657059	0.3509525099909296
Sleep duration	1.3031441512414037	0.14411483041469547	0.3217971587422446	0.19639647639432653	0.742059205716799	0.23358096938972733	0.10873390651097238	0.23179106805286784	0.1940666318974404	0.15109925420723824	0.2270459705923477	0.2762643605741094	0.16408086536194774
Nervous feelings	1.3031441512414037	0.14411483041469547	0.7252716748875148	0.19639647639432653	0.29040903766242065	0.029544174027348973	0.15745528471491302	0.20189031806919025	0.21076697226336308	0.29654666136799857	0.2609385096473029	0.26735216441423443	0.24716658523103843
Illnesses of mother: Alzheimers disease/dementia	1.3031441512414037	0.18338799549474497	0.34790554456800693	0.08885515302819864	0.11187611934646711	0.23358096938972733	0.15745528471491302	0.17472968125340474	0.18315177913157327	0.11976801738827317	0.14463409169471442	0.23720574115641258	0.26303945416174906
Mood swings	1.3031441512414037	0.18338799549474497	0.27966185371740293	0.05533050616495166	0.3824146544143138	0.186338277872346	0.15745528471491302	0.23179106805286784	0.01431504066136889	0.325437665808175	0.35334190428234025	0.33119929592070463	0.19845509321414298
